Country,Position,Date,Song title,Song author,Country,Genre
Chile,8,2023-05-20,Ultra Solo Remix,"Feid, De La Ghetto, Paloma Mami, Polima Westcoast & Pailita",CL,
Chile,9,2023-05-20,Ram,Jere Klein,,
Chile,10,2023-05-20,Madrid,Juanka El Problematik & Jairo Vera,PR,
Chile,11,2023-05-20,2 Hielos,King Savagge,,
Chile,12,2023-05-20,Sheraton,El Jordan 23,,Urbano latino
Chile,13,2023-05-20,Venga Pa' Aca,Pailita,Santiago,Urbano latino
Chile,14,2023-05-20,Bellakita,El Jordan 23,,Urbano latino
Chile,15,2023-05-20,Los Rockstars,Gabo El Chamaquito & Jere Klein,,
Chile,16,2023-05-20,34 Amor Y Mafia Remix,El Jincho & Harry Nach,,
Chile,17,2023-05-20,Roll Royce,Standly,,
Chile,18,2023-05-20,Bailando,El Jordan 23,,
Chile,19,2023-05-20,Ya No Pienso En Ti,Jere Kelin,,
Chile,20,2023-05-20,Traketo,Jere Klein,,
Chile,1,2023-04-22,Mi Buen Amor,Mon Laferte & Enrique Bunbury,ES,
Chile,2,2023-04-22,Marisola,Cris MJ,,
Chile,3,2023-04-22,Donde?,Jere Klein,,
Chile,4,2023-04-22,Xq Tan Sola?,Nickoog Clk,,
Chile,5,2023-04-22,La Inocente,Feir & Mora,,
Chile,6,2023-04-22,Tu Falta De Querer,Mon Laferte,MX,Rock y Alternativo
Chile,7,2023-04-22,Sheraton,El Jordan 23,,Urbano latino
Chile,8,2023-04-22,Ram,Jere Klein,,
Chile,9,2023-04-22,Los Rockstars,Gabo El Chamaquito & Jere Klein,,
Chile,10,2023-04-22,Venga Pa' Aca,Pailita,Santiago,Urbano latino
Chile,11,2023-04-22,Ultra Solo Remix,"Feid, De La Ghetto, Paloma Mami, Polima Westcoast & Pailita",CL,
Chile,12,2023-04-22,Ibiza,"Balbi El Chamako, El Baice & Jere Klein",CL,
Chile,13,2023-04-22,2 Hielos,King Savagge,,
Chile,14,2023-04-22,Ya No Pienso En Ti,Jere Kelin,,
Chile,15,2023-04-22,Minimo Esfuerzo,Duki & Pablo Chill-e,CL,
Chile,16,2023-04-22,Pegate,Standly,,Latino
Chile,17,2023-04-22,Muneca,Marcianeke & Jere Klein,CL,
Chile,18,2023-04-22,Glocko,Nickoog Clk,,
Chile,19,2023-04-22,Ese Corte,Balbi El Chamako,CL,
Chile,20,2023-04-22,Traketo,Jere Klein,,
Chile,1,2023-03-25,Marisola,Cris MJ,,
Chile,2,2023-03-25,Mi Buen Amor,Mon Laferte & Enrique Bunbury,ES,
Chile,3,2023-03-25,La Inocente,Feir & Mora,,
Chile,4,2023-03-25,Tu Falta De Querer,Mon Laferte,MX,Rock y Alternativo
Chile,5,2023-03-25,Sheraton,El Jordan 23,,Urbano latino
Chile,6,2023-03-25,Ultra Solo Remix,"Feid, De La Ghetto, Paloma Mami, Polima Westcoast & Pailita",CL,
Chile,7,2023-03-25,Los Rockstars,Gabo El Chamaquito & Jere Klein,,
Chile,8,2023-03-25,Muneca,Marcianeke & Jere Klein,CL,
Chile,9,2023-03-25,2 Hielos,King Savagge,,
Chile,10,2023-03-25,Donde?,Jere Klein,,
Chile,11,2023-03-25,Pegate,Standly,,Latino
Chile,12,2023-03-25,Baila Para Mi,Standly,,Latino
Chile,13,2023-03-25,Ese Corte,Balbi El Chamako,CL,
Chile,14,2023-03-25,Bailando,El Jordan 23,,
Chile,15,2023-03-25,Ya No Pienso En Ti,Jere Kelin,,
Chile,16,2023-03-25,34 Amor Y Mafia Remix,El Jincho & Harry Nach,,
Chile,17,2023-03-25,Traketo,Jere Klein,,
Chile,18,2023-03-25,512,Jhay Cortez & Mora,PR,
Chile,19,2023-03-25,Lo Mismo Que Yo Rmx,Balbi El Chamako & Marcianeke,CL,
Chile,20,2023-03-25,Glocko,Nickoog Clk,,
Chile,1,2023-02-25,Marisola,Cris MJ,,
Chile,2,2023-02-25,La Inocente,Feir & Mora,,
Chile,3,2023-02-25,Mi Buen Amor,Mon Laferte & Enrique Bunbury,ES,
Chile,4,2023-02-25,Sheraton,El Jordan 23,,Urbano latino
Chile,5,2023-02-25,Tu Falta De Querer,Mon Laferte,MX,Rock y Alternativo
Chile,6,2023-02-25,2 Hielos,King Savagge,,
Chile,7,2023-02-25,Ultra Solo Remix,"Feid, De La Ghetto, Paloma Mami, Polima Westcoast & Pailita",CL,
Chile,8,2023-02-25,Los Rockstars,Gabo El Chamaquito & Jere Klein,,
Chile,9,2023-02-25,Muneca,Marcianeke & Jere Klein,CL,
Chile,10,2023-02-25,Ese Corte,Balbi El Chamako,CL,
Chile,11,2023-02-25,Pegate,Standly,,Latino
Chile,12,2023-02-25,34 Amor Y Mafia Remix,El Jincho & Harry Nach,,
Chile,13,2023-02-25,Mi Facha,Cris MJ,,
Chile,14,2023-02-25,Bailando,El Jordan 23,,
Chile,15,2023-02-25,Vengo De La Brea,Lucky Brown & Jere Klein,US,Urbano latino
Chile,16,2023-02-25,Mandame Tu Ubi,Jere Klein,,
Chile,17,2023-02-25,Lokotron,"Pablo Chill-e & Harry Nach, Polima Westcoast, Cris MJ & Aqua VS",CL,
Chile,18,2023-02-25,Ya No Pienso En Ti,Jere Kelin,,
Chile,19,2023-02-25,Baila Para Mi,Standly,,Latino
Chile,20,2023-02-25,Con Puras De 25,Jairo Vera,,
